"","Pvalb","Sst","Vip"
"0",0.333333333333333,0.5,0.25
"0.1",0.538461538461538,0.633333333333333,0.619047619047619
"0.2",0.583333333333333,0.791666666666667,0.84
"0.3",0.7,0.826086956521739,0.782608695652174
"0.4",0.85,0.738095238095238,0.625
"0.5",0.928571428571429,0.9,0.875
"0.6",1,0.787234042553192,0.821428571428571
"0.7",1,0.937062937062937,0.944444444444444
"0.8",0.971428571428571,0.930091185410334,0.890625
"0.9",0.946564885496183,0.928947368421053,0.947916666666667
"1",0.818181818181818,0.925925925925926,0.925233644859813
"1.1",0.714285714285714,0.871794871794872,0.978260869565217
"1.2",NA,1,0.924528301886792
"1.3",NA,NA,0.642857142857143
"1.4",NA,NA,0.2
